long,code,provider,s_confidence,time,unique_id,detected,mag,p_error,event_id,s_detected,p_predicted,p_detected,catalogued,p_confidence,lat,s_error,plot_path,depth,date,s_predicted,network,epi_distance,mag_type
29.0053,R50D6,EMSC,,2024-09-01T21:47:21,2024-09-01_32,False,1.1,,quakeml:eu.emsc/event/20240901_0000209,,2024-09-01T21:52:57.744766,,True,,38.9772,,,9.3,2024-09-01,2024-09-01T21:57:35.411331,AM,2874.2621138054205,ml
38.2367,R50D6,EMSC,,2024-09-01T21:43:20,2024-09-01_33,False,1.3,,quakeml:eu.emsc/event/20240901_0000211,,2024-09-01T21:49:42.896031,,True,,38.2592,,,7.3,2024-09-01,2024-09-01T21:54:52.653131,AM,3488.1534251348367,ml
-111.86,R50D6,EMSC,,2024-09-01T21:41:28,2024-09-01_34,False,3.9,,quakeml:eu.emsc/event/20240901_0000230,,2024-09-01T21:53:30.425614,,True,,27.8,,,17.4,2024-09-01,2024-09-01T22:03:27.973450,AM,8699.291307973106,m
26.4808,R50D6,EMSC,,2024-09-01T21:26:28.330000,2024-09-01_35,False,2.6,,quakeml:eu.emsc/event/20240901_0000205,,2024-09-01T21:32:23.441613,,True,,34.9129,,,10.0,2024-09-01,2024-09-01T21:37:03.619070,AM,3085.1204550389857,ml
37.3511,R50D6,EMSC,,2024-09-01T21:23:08,2024-09-01_36,False,1.4,,quakeml:eu.emsc/event/20240901_0000207,,2024-09-01T21:29:24.191263,,True,,38.6389,,,7.0,2024-09-01,2024-09-01T21:34:28.767260,AM,3403.6469714731884,ml
-69.085,R50D6,EMSC,,2024-09-01T21:17:47,2024-09-01_37,False,3.3,,quakeml:eu.emsc/event/20240901_0000204,,2024-09-01T21:28:13.167216,,True,,17.851,,,95.7,2024-09-01,2024-09-01T21:36:43.288000,AM,6959.900270358157,m
34.55,R50D6,EMSC,,2024-09-01T21:14:37,2024-09-01_38,False,1.1,,quakeml:eu.emsc/event/20240901_0000206,,2024-09-01T21:20:30.083794,,True,,40.8778,,,7.0,2024-09-01,2024-09-01T21:25:09.020876,AM,3058.600592913276,ml
-103.23,R50D6,EMSC,,2024-09-01T21:14:21,2024-09-01_39,False,3.4,,quakeml:eu.emsc/event/20240901_0000231,,2024-09-01T21:26:36.958781,,True,,19.34,,,28.6,2024-09-01,2024-09-01T21:36:47.299702,AM,8981.166440535579,m
-104.11,R50D6,EMSC,,2024-09-01T21:10:11,2024-09-01_40,False,3.1,,quakeml:eu.emsc/event/20240901_0000232,,2024-09-01T21:22:29.881249,,True,,19.25,,,6.3,2024-09-01,2024-09-01T21:32:43.002497,AM,9042.120798440614,m
42.0169,R50D6,EMSC,,2024-09-01T20:51:53,2024-09-01_41,False,1.9,,quakeml:eu.emsc/event/20240901_0000199,,2024-09-01T20:58:30.130278,,True,,38.9967,,,7.0,2024-09-01,2024-09-01T21:03:50.928280,AM,3667.838359861994,ml
28.1669,R50D6,EMSC,,2024-09-01T20:49:41,2024-09-01_42,False,1.1,,quakeml:eu.emsc/event/20240901_0000196,,2024-09-01T20:55:28.055633,,True,,37.0061,,,7.0,2024-09-01,2024-09-01T21:00:14.206644,AM,2992.4115457273674,ml
-149.2453,R50D6,EMSC,,2024-09-01T20:41:41.925000,2024-09-01_43,False,2.6,,quakeml:eu.emsc/event/20240901_0000250,,2024-09-01T20:51:55.608019,,True,,61.9259,,,9.9,2024-09-01,2024-09-01T21:00:14.774409,AM,6735.93752263489,ml
-66.8347,R50D6,EMSC,,2024-09-01T20:40:32.690000,2024-09-01_44,False,2.7,,quakeml:eu.emsc/event/20240901_0000195,,2024-09-01T20:50:49.435672,,True,,17.9927,,,16.4,2024-09-01,2024-09-01T20:59:11.281066,AM,6804.601711113249,md
160.287,R50D6,EMSC,,2024-09-01T20:36:24.120000,2024-09-01_45,False,4.6,,quakeml:eu.emsc/event/20240901_0000194,,2024-09-01T20:47:46.513176,,True,,52.9482,,,35.0,2024-09-01,2024-09-01T20:57:07.006590,AM,7921.807559050545,mb
7.504,R50D6,EMSC,,2024-09-01T20:32:01.200000,2024-09-01_46,False,0.2,,quakeml:eu.emsc/event/20240901_0000208,,2024-09-01T20:34:28.093997,,True,,46.4047,,,2.5,2024-09-01,2024-09-01T20:36:23.885127,AM,1126.7395785409635,ml
0.6457,R50D6,EMSC,,2024-09-01T20:22:28.950000,2024-09-01_47,False,2.0,,quakeml:eu.emsc/event/20240901_0000193,,2024-09-01T20:26:16.102790,,True,,39.1054,,,14.9,2024-09-01,2024-09-01T20:29:23.097342,AM,1749.1773686918175,ml
29.6229,R50D6,EMSC,,2024-09-01T20:19:49.870000,2024-09-01_48,False,3.1,,quakeml:eu.emsc/event/20240901_0000187,,2024-09-01T20:25:51.605006,,True,,35.2712,,,25.0,2024-09-01,2024-09-01T20:30:45.025513,AM,3224.735499108453,ml
-1.384,R50D6,EMSC,,2024-09-01T20:19:48.338175,2024-09-01_49,False,2.0,,quakeml:eu.emsc/event/20240901_0000189,,2024-09-01T20:21:49.105268,,True,,48.4707,,,5.0,2024-09-01,2024-09-01T20:23:16.805182,AM,700.0866277881813,ml
37.8281,R50D6,EMSC,,2024-09-01T20:13:31.120000,2024-09-01_50,False,2.6,,quakeml:eu.emsc/event/20240901_0000185,,2024-09-01T20:19:51.482528,,True,,38.3439,,,10.8,2024-09-01,2024-09-01T20:24:59.280713,AM,3456.2252306079813,ml
-97.3,R50D6,EMSC,,2024-09-01T20:09:46,2024-09-01_51,False,3.1,,quakeml:eu.emsc/event/20240901_0000233,,2024-09-01T20:21:58.113709,,True,,16.19,,,32.5,2024-09-01,2024-09-01T20:32:04.805482,AM,8904.018942861236,m
7.2702,R50D6,EMSC,,2024-09-01T20:08:34.300000,2024-09-01_52,False,1.0,,quakeml:eu.emsc/event/20240901_0000183,,2024-09-01T20:11:01.284332,,True,,46.3008,,,1.3,2024-09-01,2024-09-01T20:12:57.147030,AM,1127.5279569658392,ml
-86.76,R50D6,EMSC,,2024-09-01T20:01:02,2024-09-01_53,False,2.6,,quakeml:eu.emsc/event/20240901_0000179,,2024-09-01T20:13:03.050168,,True,,11.22,,,22.0,2024-09-01,2024-09-01T20:22:59.306352,AM,8683.711323080774,m
-100.32,R50D6,EMSC,,2024-09-01T19:59:54,2024-09-01_54,False,3.2,,quakeml:eu.emsc/event/20240901_0000234,,2024-09-01T20:12:12.090273,,True,,16.89,,,12.3,2024-09-01,2024-09-01T20:22:24.458270,AM,9027.317322471612,m
8.3266,R50D6,EMSC,,2024-09-01T19:57:25.400000,2024-09-01_55,False,1.5,,quakeml:eu.emsc/event/20240901_0000176,,2024-09-01T19:59:47.140497,,True,,47.2293,,,28.6,2024-09-01,2024-09-01T20:01:38.846749,AM,1084.6895275237146,ml
37.0267,R50D6,EMSC,,2024-09-01T19:55:49,2024-09-01_56,False,1.2,,quakeml:eu.emsc/event/20240901_0000180,,2024-09-01T20:02:10.809871,,True,,37.4861,,,7.1,2024-09-01,2024-09-01T20:07:19.726937,AM,3474.898743059646,ml
21.24,R50D6,EMSC,,2024-09-01T19:52:25.800000,2024-09-01_57,True,2.6,-7.876094,quakeml:eu.emsc/event/20240901_0000175,,2024-09-01T19:57:39.016094,2024-09-01T19:57:31.140000,True,0.4873178601264953,37.19,,https://raw.githubusercontent.com/QingyuanZhangTony/Automated-Earthquake-Detection-And-Reporting/main/data\AM.R50D6/2024-09-01/report/2024-09-01_57_event_plot.png?raw=true,10.0,2024-09-01,2024-09-01T20:02:11.480689,AM,2607.612385463736,ml
-3.594,R50D6,EMSC,,2024-09-01T19:47:33.780000,2024-09-01_58,False,2.0,,quakeml:eu.emsc/event/20240901_0000181,,2024-09-01T19:52:07.022021,,True,,35.5062,,,15.4,2024-09-01,2024-09-01T19:55:52.208963,AM,2147.266353574338,ml
31.7131,R50D6,EMSC,,2024-09-01T19:42:31,2024-09-01_59,False,1.0,,quakeml:eu.emsc/event/20240901_0000182,,2024-09-01T19:48:13.187376,,True,,40.2203,,,7.0,2024-09-01,2024-09-01T19:52:55.334050,AM,2935.3501997129874,ml
-3.6354,R50D6,EMSC,,2024-09-01T19:37:10.420000,2024-09-01_60,False,2.0,,quakeml:eu.emsc/event/20240901_0000177,,2024-09-01T19:41:44.051203,,True,,35.4668,,,18.6,2024-09-01,2024-09-01T19:45:29.560681,AM,2151.8729216588063,ml
